Strategy,Accuracy,Precision,Recall,F1 Score
original,0.5450520833333333,0.5712767948567609,0.5450520833333333,0.549929532632851
RBP,0.28046875,0.6726330624476122,0.28046875,0.1737902453944144
MRBP,0.2765625,0.6770289710676902,0.2765625,0.16872508893825539
zero,0.2833333333333333,0.6085448448254709,0.2833333333333333,0.1855837298542087
noise,0.3341145833333333,0.42246151039292706,0.3341145833333333,0.2891529136514785
blur,0.31354166666666666,0.600979230850246,0.31354166666666666,0.256702056811451
