Strategy,Accuracy,Precision,Recall,F1 Score
original,0.9621212121212122,0.9632663113491121,0.9621212121212122,0.9621281691390169
RBP,0.9075757575757576,0.9188513955221885,0.9075757575757576,0.9066769400752612
MRBP,0.5174242424242425,0.7506569871706442,0.5174242424242425,0.35453069393865844
zero,0.8909090909090909,0.9066998286981257,0.8909090909090909,0.8894456455044357
noise,0.5159090909090909,0.26616219008264463,0.5159090909090909,0.3511585116532643
blur,0.9371212121212121,0.9398132018589143,0.9371212121212121,0.9369385657250372
