Strategy,Accuracy,Precision,Recall,F1 Score
original,0.448,0.43235294117647055,0.448,0.3798701613629593
RBP,0.4613333333333333,0.41009430573705974,0.4613333333333333,0.3868207346021775
MRBP,0.45066666666666666,0.4396256219382731,0.45066666666666666,0.42588528801676395
zero,0.456,0.4474773020706422,0.456,0.44516573088001654
noise,0.4533333333333333,0.4064859117490696,0.4533333333333333,0.35929194134882014
blur,0.48,0.46421642419664255,0.48,0.39949039949039944
