Strategy,Accuracy,Precision,Recall,F1 Score
original,0.754054054054054,0.7916103084460083,0.754054054054054,0.7175063576393887
RBP,0.7162162162162162,0.7349051178838413,0.7162162162162162,0.670336156369676
MRBP,0.6567567567567567,0.7761865975564605,0.6567567567567567,0.533808108140824
zero,0.7243243243243244,0.7404594725349443,0.7243243243243244,0.6842276120349314
noise,0.6432432432432432,0.41376186997808617,0.6432432432432432,0.5035917496443812
blur,0.754054054054054,0.7916103084460083,0.754054054054054,0.7175063576393887
