Strategy,Accuracy,Precision,Recall,F1 Score
original,0.7984,0.8370246907440871,0.7984,0.7848153033169849
RBP,0.5296,0.6484961540034712,0.5296,0.5161350629583711
MRBP,0.3568,0.5439037972836808,0.3568,0.28340632611371663
zero,0.5056,0.614125735967071,0.5056,0.48477237268401757
noise,0.3264,0.36751928839751397,0.3264,0.2553500150816333
blur,0.7472,0.8060762608469402,0.7472,0.7307191786934424
