Strategy,Accuracy,Precision,Recall,F1 Score
original,0.43506493506493504,0.48812513167773375,0.43506493506493504,0.44732576246805034
RBP,0.34415584415584416,0.4135263852495075,0.34415584415584416,0.33571645185470766
MRBP,0.07792207792207792,0.27789644565960353,0.07792207792207792,0.022325655511559347
zero,0.42857142857142855,0.425485759220699,0.42857142857142855,0.4082269179851077
noise,0.2922077922077922,0.23346356024927456,0.2922077922077922,0.19580582367163257
blur,0.36363636363636365,0.46547269934366714,0.36363636363636365,0.39574447098843474
