Strategy,Accuracy,Precision,Recall,F1 Score
original,0.512396694214876,0.42477241823832734,0.512396694214876,0.4176087150027046
RBP,0.36363636363636365,0.38297164595865896,0.36363636363636365,0.2915279821880071
MRBP,0.2975206611570248,0.14446159900705355,0.2975206611570248,0.17940598059544535
zero,0.3925619834710744,0.3531109632799455,0.3925619834710744,0.3165778871710327
noise,0.14049586776859505,0.05222884516931178,0.14049586776859505,0.04995835735793453
blur,0.4380165289256198,0.43452302110995394,0.4380165289256198,0.37351234623961893
