Strategy,Accuracy,Precision,Recall,F1 Score
original,0.9662556781310837,0.9710208702384859,0.9662556781310837,0.9676450057004219
RBP,0.5392602206359507,0.9059326033842344,0.5392602206359507,0.6167216099405886
MRBP,0.10837118754055808,0.9037602401743987,0.10837118754055808,0.021993427534968777
zero,0.8805970149253731,0.9199611638064349,0.8805970149253731,0.8937049144886141
noise,0.10853341985723557,0.9037621305527698,0.10853341985723557,0.022320559471081938
blur,0.9404607397793641,0.9542611558266357,0.9404607397793641,0.9445950832808788
