Strategy,Accuracy,Precision,Recall,F1 Score
original,0.764,0.776919978517723,0.764,0.7612148095384565
RBP,0.74,0.7426242236024845,0.74,0.7392950538255443
MRBP,0.536,0.5934230194319879,0.536,0.4517543859649123
zero,0.724,0.7241290983606556,0.724,0.7239602502760397
noise,0.552,0.6689540444998961,0.552,0.45824626576890337
blur,0.74,0.7456761006289309,0.74,0.7384895154411883
