Strategy,Accuracy,Precision,Recall,F1 Score
original,0.5644736842105263,0.45739571713484095,0.5644736842105263,0.43750631538707724
RBP,0.5381578947368421,0.4077712009451465,0.5381578947368421,0.3930902028940694
MRBP,0.46710526315789475,0.3392531805235499,0.46710526315789475,0.3840269552349005
zero,0.5342105263157895,0.4030180921052631,0.5342105263157895,0.38615443771235236
noise,0.3894736842105263,0.4072272319122964,0.3894736842105263,0.36744244348203
blur,0.5526315789473685,0.39178877191702444,0.5526315789473685,0.41614839851017027
