Strategy,Accuracy,Precision,Recall,F1 Score
original,0.5105263157894737,0.5760421970065854,0.5105263157894737,0.5163569409130937
RBP,0.4342105263157895,0.46066995432379654,0.4342105263157895,0.42417454873704635
RBP1fast,0.07894736842105263,0.4634112953932033,0.07894736842105263,0.07065215001812143
zero,0.4513157894736842,0.4482203493719118,0.4513157894736842,0.4259180576097218
noise,0.3263157894736842,0.3936782461993347,0.3263157894736842,0.3303130978850881
blur,0.5118421052631579,0.58662538906124,0.5118421052631579,0.5159388700203861
